air_date,weekday,start_hhmm,time_slot,channel,channel_type,brand,product_name,category,price,url
2026-08-19,수,03:10,새벽 03-06,GS샵,TV홈쇼핑,막스스튜디오,"막스스튜디오 플리스 기모 밴딩팬츠 4종 [런칭 가격 79,900원]",패션의류,49900,https://m.gsshop.com/alia/aliaGate.gs?media=LUz&gourl=/prd/prd.gs?prdid=1095180797&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-19,수,03:10,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],● 26FW 핀턱 니팅 데님팬츠 2종,패션의류,69900,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12918511&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:10,새벽 03-06,현대홈쇼핑,TV홈쇼핑,샐마,샐마 마카롱EZ 점보 TPU도마 풀세트(방송에서만 조리도구 타워 포함),생활용품,89000,https://www.hmall.com/md/pda/itemPtc?utm_source=homemoatv&utm_medium=cps&utm_campaign=sale&ReferCode=s60&slitmCd=2248998340&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:10,새벽 03-06,GS샵,TV홈쇼핑,Döhler,GS단독 프리미엄 돌러 마차라떼 프로틴 180포 에 방송중에만 22포 더 총 202포,건강기능식품,399000,https://m.gsshop.com/alia/aliaGate.gs?media=LUz&gourl=/prd/prd.gs?prdid=1121776589&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-19,수,03:12,새벽 03-06,GS샵,TV홈쇼핑,대원헬스,대원헬스 혈당파이터 10박스(20개월분),건강기능식품,198000,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1131841971&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-19,수,03:12,새벽 03-06,GS샵,TV홈쇼핑,라삐아프,라삐아프 26FW 오픈업 베스트+가디건 레이어드 세트,패션의류,79900,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1129856408&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-19,수,03:12,새벽 03-06,GS샵,TV홈쇼핑,브루마스,브루마스 26FW 최신상 울 워킹화 여성 (울98%),기타,59800,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1133072227&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-19,수,03:15,새벽 03-06,CJ온스타일,TV홈쇼핑,지 스튜디오,26FW 슬릭 스트레이트 팬츠,패션의류,79900,https://display.cjonstyle.com/m/item/2089249948?infl_cd=I0482&utm_medium=pcs&utm_source=hsmoa&chn_cd=30002002&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:15,새벽 03-06,CJ온스타일,TV홈쇼핑,지스튜디오,[지금 HOT한 아이템] 26SS 실크100 타슬 방도,기타,49900,https://display.cjonstyle.com/m/item/2079161488?infl_cd=I0101&utm_medium=pcs&utm_source=hsmoa&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:15,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],◎ 포세이돈 텀블러 세트 (1200ml+1200ml ),생활용품,39900,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919456&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:15,새벽 03-06,CJ온스타일,TV홈쇼핑,CelebShop,[미리주문10%] 26FW 쉬폰 레이어드 뷔스티에 2종,기타,59900,https://display.cjonstyle.com/m/item/2088594483?infl_cd=I0482&utm_medium=pcs&utm_source=hsmoa&channelCode=30002002&chn_cd=30002002&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:15,새벽 03-06,CJ온스타일,TV홈쇼핑,애드아보아,"[최초가 129,000원] 25FW 캐시미어100 보트넥 풀오버",기타,129000,https://display.cjonstyle.com/m/item/2064511172?infl_cd=I0101&utm_medium=pcs&utm_source=hsmoa&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:15,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,No brand names found.,●26 NEW시그니처 이태리 램스킨 볼륨자켓,패션의류,219000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919325&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:15,새벽 03-06,CJ온스타일,TV홈쇼핑,디오브르,[디오브르by셀렙샵/10%]26FW 크레이프 사브리나 텐션팬츠+벨트,패션의류,79900,https://display.cjonstyle.com/m/item/2090666532?infl_cd=I0482&utm_medium=pcs&utm_source=hsmoa&channelCode=30002002&chn_cd=30002002&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:17,새벽 03-06,GS샵,TV홈쇼핑,스튜디오디페,스튜디오디페 26FW 코튼 절개 스커트,패션의류,59900,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1130098990&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-19,수,03:17,새벽 03-06,GS샵,TV홈쇼핑,모르간,모르간 26FW FAUX 스웨이드셔츠,패션의류,69900,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1124125531&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-19,수,03:19,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,No brand names found.,O 베네통정품 26FW 여성 니트 가디건 2종,패션의류,129000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919862&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:20,새벽 03-06,NS홈쇼핑,TV홈쇼핑,[No brand names found.],뉴밋 유기농 엑스트라버진 올리브오일 100% 14박스,기타,277000,https://m.nsmall.com/gate?ptnCd=538&hsmoa_userid=&target=/goods/36080625&hsmoa_code=moa
2026-08-19,수,03:20,새벽 03-06,공영쇼핑,TV홈쇼핑,[No brand names found.],[리뉴얼] 레드플러스청양구기자17통+스푼5개_R,기타,158000,http://m.gongyoungshop.kr/gate/selectAliance.do?alcLnkCd=hsmoa&tgUrl=/goods/selectGoodsDetail.do?prdId=11945703
2026-08-19,수,03:20,새벽 03-06,현대홈쇼핑,TV홈쇼핑,올록담,[방송에서만 이가격][올록담]올리브3 지중해 엑스트라버진 올리브오일 캡슐 5박스 (120포),기타,128300,https://www.hmall.com/md/pda/itemPtc?utm_source=homemoadata&utm_medium=cps&utm_campaign=sale&ReferCode=s61&slitmCd=2252663639&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:20,새벽 03-06,NS홈쇼핑,TV홈쇼핑,클라비스,(정상가)클라비스 바흐 목걸이+팔찌 세트,패션잡화,398000,https://m.nsmall.com/gate?ptnCd=539&hsmoa_userid=&target=/goods/36110013&hsmoa_code=moa
2026-08-19,수,03:20,새벽 03-06,NS홈쇼핑,TV홈쇼핑,[No brand names found.],베리솔 더콜라겐구미 클래식 32+2팩(34주분),건강기능식품,399000,https://m.nsmall.com/gate?ptnCd=538&hsmoa_userid=&target=/goods/36094234&hsmoa_code=moa
2026-08-19,수,03:20,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],● ESCADA 26FW 셔츠 자켓 1종,패션의류,209000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919187&hsmoa_userid=&hsmoa_code=moa
